componente,autovalor,varianza_explicada_pct,varianza_acumulada_pct,criterio_kaiser
PC1,6.268938247119532,32.99441182694497,32.99441182694497,True
PC2,5.242871934387358,27.594062812565006,60.588474639509975,True
PC3,2.6499415114132567,13.947060586385588,74.53553522589556,True
PC4,1.3990516128901773,7.363429541527246,81.8989647674228,True
PC5,0.9305061121523519,4.897400590275544,86.79636535769833,False
PC6,0.5740266347565914,3.021192814508372,89.8175581722067,False
PC7,0.5319182715464718,2.7995698502445907,92.6171280224513,False
PC8,0.4397506131523843,2.314476911328336,94.93160493377964,False
PC9,0.32151232606029545,1.6921701371594469,96.62377507093909,False
PC10,0.19129660398317438,1.0068242314903875,97.63059930242947,False
PC11,0.136757915629682,0.7197785033141166,98.35037780574359,False
PC12,0.1173519786736472,0.6176419930191966,98.96801979876278,False
PC13,0.08697343777868805,0.45775493567730524,99.42577473444008,False
PC14,0.038611428969891254,0.2032180472099519,99.62899278165004,False
PC15,0.029506031197622552,0.15529490104011973,99.78428768269016,False
PC16,0.019968081319490738,0.10509516483942502,99.88938284752959,False
PC17,0.011254788049417295,0.05923572657588001,99.94861857410547,False
PC18,0.006871284544015198,0.036164655494816546,99.98478322960028,False
PC19,0.002891186375948649,0.015216770399730179,100.00000000000001,False
