codigo_geo,nombre_territorio,pais,componente,puntuacion_pca,varianza_explicada_pct,varianza_acumulada_pct
ES11,Galicia,España,PC1,2.6587376968922647,32.99441182694497,32.99441182694497
ES12,Principado de Asturias,España,PC1,2.0504416024019716,32.99441182694497,32.99441182694497
ES13,Cantabria,España,PC1,2.5227838325292073,32.99441182694497,32.99441182694497
ES21,País Vasco,España,PC1,3.4388803983347995,32.99441182694497,32.99441182694497
ES22,Comunidad Foral de Navarra,España,PC1,0.21168995758968334,32.99441182694497,32.99441182694497
ES23,La Rioja,España,PC1,-0.6451308601025886,32.99441182694497,32.99441182694497
ES24,Aragón,España,PC1,-1.971432367866531,32.99441182694497,32.99441182694497
ES30,Comunidad de Madrid,España,PC1,1.2845643763875798,32.99441182694497,32.99441182694497
ES41,Castilla y León,España,PC1,-1.4722709825128575,32.99441182694497,32.99441182694497
ES42,Castilla-La Mancha,España,PC1,-3.623135495242013,32.99441182694497,32.99441182694497
ES43,Extremadura,España,PC1,-4.2855724151939025,32.99441182694497,32.99441182694497
ES51,Cataluña,España,PC1,0.8916614592870552,32.99441182694497,32.99441182694497
ES52,Comunitat Valenciana ,España,PC1,-0.960448147302978,32.99441182694497,32.99441182694497
ES61,Andalucía,España,PC1,-3.1226005588026635,32.99441182694497,32.99441182694497
ES62,Región de Murcia,España,PC1,-2.384436425563666,32.99441182694497,32.99441182694497
PT11,Norte,Portugal,PC1,2.511666090531868,32.99441182694497,32.99441182694497
PT15,Algarve,Portugal,PC1,-1.8011886603657221,32.99441182694497,32.99441182694497
PT19,Centro (PT),Portugal,PC1,0.5189996077991937,32.99441182694497,32.99441182694497
PT1A,Grande Lisboa,Portugal,PC1,4.517965304919169,32.99441182694497,32.99441182694497
PT1B,Península de Setúbal,Portugal,PC1,2.823463533282685,32.99441182694497,32.99441182694497
PT1C,Alentejo,Portugal,PC1,-3.6350492600949362,32.99441182694497,32.99441182694497
PT1D,Oeste e Vale do Tejo,Portugal,PC1,0.4704113130923813,32.99441182694497,32.99441182694497
ES11,Galicia,España,PC2,-1.962831350602688,27.594062812565006,60.588474639509975
ES12,Principado de Asturias,España,PC2,-3.168326576925057,27.594062812565006,60.588474639509975
ES13,Cantabria,España,PC2,-3.2123954707591946,27.594062812565006,60.588474639509975
ES21,País Vasco,España,PC2,-2.5445883664364817,27.594062812565006,60.588474639509975
ES22,Comunidad Foral de Navarra,España,PC2,-2.9998114831300313,27.594062812565006,60.588474639509975
ES23,La Rioja,España,PC2,-2.389923955195803,27.594062812565006,60.588474639509975
ES24,Aragón,España,PC2,-1.6526275827922614,27.594062812565006,60.588474639509975
ES30,Comunidad de Madrid,España,PC2,0.87516388503623,27.594062812565006,60.588474639509975
