codigo_geo,con_electrica,sin_electrica,ranking_con_electrica,ranking_sin_electrica
ES11,0.4458578022343702,0.4787440615744972,9,9
ES12,0.4276403951555337,0.4494793044617172,12,13
ES13,0.3867765109210172,0.41061125356273825,19,19
ES21,0.44805005109591917,0.45606492034418816,8,11
ES22,0.4055682201789743,0.4603566275122117,14,10
ES23,0.40260562365723485,0.4542740100764215,15,12
ES24,0.4371072343501929,0.48457844347989226,10,6
ES30,0.5600268756479057,0.5841521984486743,3,1
ES41,0.434180332522112,0.47909475215027053,11,8
ES42,0.39280208296778696,0.43890948395762325,17,16
ES43,0.26054848184592905,0.28734712358198894,20,20
ES51,0.4662165284509976,0.4901447075535256,6,5
ES52,0.39005213419972756,0.41978109653910317,18,18
ES61,0.39686129305312134,0.4392554646972019,16,15
ES62,0.45218063275754455,0.49457395184793873,7,4
PT11,0.5656806271558525,0.563669458099103,2,3
PT15,0.2596579587289333,0.27825173927892033,21,21
PT19,0.42112144976207255,0.4489241342696891,13,14
PT1A,0.6302216766513538,0.5773962018872615,1,2
PT1B,0.47498229079133886,0.42819279869721943,4,17
PT1C,0.245961396881742,0.2769109859937558,22,22
PT1D,0.4689845980370201,0.4827412590325008,5,7
