variable_1,variable_2,pearson,spearman,max_abs
electrica_densidad_subestaciones_1000km2,digital_torres_mastiles_1000km2,0.9167220718993825,0.8690005646527386,0.9167220718993825
densidad_poblacion,logistica_road_alta_capacidad_km_por_1000km2,0.9137344739034519,0.7865612648221344,0.9137344739034519
pvgis_produccion_anual_kwh_kwp,precipitation_daily_mean_mm_2024_2025,-0.8314552247495616,-0.8824860165479407,0.8824860165479407
densidad_poblacion,electrica_densidad_alta_tension_km_1000km2,0.8207287435475243,0.7922077922077922,0.8207287435475243
pvgis_produccion_anual_kwh_kwp,pvgis_coef_variacion_mensual,-0.6838601954883446,-0.8032786885245902,0.8032786885245902
precipitation_daily_mean_mm_2024_2025,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.7021500967232162,-0.7809147374364765,0.7809147374364765
logistica_road_alta_capacidad_km_por_1000km2,electrica_densidad_subestaciones_1000km2,0.7533555761542607,0.7312252964426877,0.7533555761542607
temperatura_media_2m_c,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,0.7479620828945388,0.7199322416713722,0.7479620828945388
logistica_road_alta_capacidad_km_por_1000km2,digital_torres_mastiles_1000km2,0.7435702341654986,0.6905702992659515,0.7435702341654986
pvgis_produccion_anual_kwh_kwp,temperatura_media_2m_c,0.7377096018177329,0.7423729998361037,0.7423729998361037
densidad_poblacion,digital_exchanges_centrales_telecom_1000km2,0.7270983511032927,0.5659418469112444,0.7270983511032927
logistica_places_n_por_1000km2,precipitation_daily_mean_mm_2024_2025,0.7230591000777493,0.6736307171089779,0.7230591000777493
logistica_road_alta_capacidad_km_por_1000km2,electrica_densidad_alta_tension_km_1000km2,0.7204135544604949,0.6013551665725578,0.7204135544604949
logistica_road_alta_capacidad_km_por_1000km2,digital_exchanges_centrales_telecom_1000km2,0.7130289226972091,0.5230161180038048,0.7130289226972091
ambiental_densidad_sitios_1000km2,ambiental_penalizacion_media_0_1,0.6565288571752924,0.6996047430830039,0.6996047430830039
precipitation_daily_mean_mm_2024_2025,temperatura_media_2m_c,-0.6875182216710378,-0.6939582156973462,0.6939582156973462
electrica_densidad_alta_tension_km_1000km2,digital_exchanges_centrales_telecom_1000km2,0.6934961006809413,0.5732844058033065,0.6934961006809413
densidad_poblacion,electrica_densidad_subestaciones_1000km2,0.6542019513049107,0.691699604743083,0.691699604743083
digital_torres_mastiles_1000km2,punto_rocio_medio_c,0.6913549926203173,0.603613777526821,0.6913549926203173
pvgis_produccion_anual_kwh_kwp,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,0.684579316270776,0.6824859846286251,0.684579316270776
nivel_formativo_terciario,temperatura_media_2m_c,-0.6796075697171343,-0.6783394791820405,0.6796075697171343
logistica_places_n_por_1000km2,digital_torres_mastiles_1000km2,0.6224810143152433,0.6736307171089779,0.6736307171089779
logistica_places_n_por_1000km2,pvgis_perdidas_totales_pct,0.6731153528723861,0.6175142228469265,0.6731153528723861
digital_torres_mastiles_1000km2,digital_exchanges_centrales_telecom_1000km2,0.669661528985525,0.49025700910075865,0.669661528985525
nivel_formativo_terciario,ambiental_densidad_sitios_1000km2,0.6679623725207151,0.628636003605005,0.6679623725207151
pvgis_coef_variacion_mensual,precipitation_daily_mean_mm_2024_2025,0.6478949398857138,0.6666667730643854,0.6666667730643854
temperatura_media_2m_c,punto_rocio_medio_c,0.6257598292617708,0.6623376623376623,0.6623376623376623
pvgis_perdidas_totales_pct,precipitation_daily_mean_mm_2024_2025,0.6166497951931563,0.6576272235991056,0.6576272235991056
logistica_places_n_por_1000km2,electrica_densidad_subestaciones_1000km2,0.5623723352486641,0.6544325239977414,0.6544325239977414
pvgis_produccion_anual_kwh_kwp,pvgis_perdidas_totales_pct,-0.5599830790702363,-0.6416054267947994,0.6416054267947994
pvgis_coef_variacion_mensual,temperatura_media_2m_c,-0.6403765910140883,-0.6135594199558666,0.6403765910140883
