codigo_geo,nombre_territorio,pais,IIT-CPD_Equilibrado,IIT-CPD_Energetico,IIT-CPD_Ambiental,IIT-CPD_Tecnologico,ranking_Equilibrado,ranking_Energetico,ranking_Ambiental,ranking_Tecnologico,Clima,Energia_solar,Territorio,Medio_ambiente,Electrica,Logistica_digital,Capital_humano,Hidrica,temperatura_media_2m_c__score,punto_rocio_medio_c__score,pvgis_produccion_anual_kwh_kwp__score,pvgis_coef_variacion_mensual__score,corine_compat_media_0_3__score,ambiental_penalizacion_media_0_1__score,electrica_densidad_alta_tension_km_1000km2__score,electrica_densidad_subestaciones_1000km2__score,logistica_road_alta_capacidad_km_por_1000km2__score,logistica_places_n_por_1000km2__score,digital_torres_mastiles_1000km2__score,digital_data_centers_osm_n__score,digital_exchanges_centrales_telecom_1000km2__score,densidad_poblacion__score,nivel_formativo_terciario__score,hidrica_wei_area_estres_grave_pct_territorio_2019_2023__score,pareto_rank,es_pareto_eficiente,numero_dominadores,numero_dominados,cluster_id,nombre_perfil,distancia_centroide,score_anomalia,singular_modelo_base,singularidad_estable
ES11,Galicia,España,0.4458578022343702,0.4012076336580108,0.4990233201437862,0.3886372398666409,9,15,6,6,0.6643897507061749,0.09884771099346008,0.11837106128175844,0.4471147041561564,0.2156539868534817,0.3180366449701525,0.7175232811115076,0.9869252778022701,0.8450700235759168,0.4837094778364329,0.16474618498910015,0.0,0.11837106128175844,0.4471147041561564,0.38506638285272166,0.04624159085424172,0.14473699011221414,1.0,0.0326879398694953,0.125,0.28775829486905297,0.9360100376411543,0.5718654434250765,0.9869252778022701,1,True,0,0,2,Húmedo y de menor potencial solar,2.0606352312235554,-0.0361856037377138,False,False
ES12,Principado de Asturias,España,0.4276403951555337,0.4421416535769921,0.44278456692295587,0.35683866120374336,12,8,14,8,0.8009382035941193,0.24729209752634201,0.0,0.14655668000304256,0.27476803001224925,0.17822256938915812,0.7736212632233259,0.9997243174960323,0.999558239993762,0.6023181671944766,0.010413422609779151,0.6026101099011862,0.0,0.14655668000304256,0.5141671373708329,0.03536892265366569,0.13389562465732152,0.5486219566274158,0.026727585422903273,0.125,0.056867680238150094,0.9799247176913425,0.6360856269113149,0.9997243174960323,1,True,0,0,2,Húmedo y de menor potencial solar,0.7848419354470717,-0.0419935448030354,False,False
ES13,Cantabria,España,0.3867765109210172,0.377034604088989,0.38578707581816707,0.33529310875189205,19,18,18,10,0.7828146545293782,0.02977323185024563,0.07242824738979056,0.0,0.2199333124289698,0.16855962112134948,0.860279555612864,0.9604234644355402,0.9596769868657559,0.6059523221930003,0.0,0.07443307962561407,0.07242824738979056,0.0,0.2930659099035389,0.1468007149544007,0.19377752189991843,0.17643813786186133,0.09758244584496747,0.375,0.0,0.9901484303165637,0.7737003058103974,0.9604234644355402,1,True,0,0,2,Húmedo y de menor potencial solar,0.625230347868254,-0.0339560339336525,False,False
ES21,País Vasco,España,0.44805005109591917,0.4248240321906036,0.44215074635781676,0.41926048801028415,8,10,15,5,0.6697681010100764,0.06076551749173076,0.194213524917893,0.17110005494682712,0.391945966358036,0.22420033768915215,0.9439117299356364,0.9284951764180013,0.8372131881911948,0.502323013828958,0.03089964185611959,0.1055643309451475,0.194213524917893,0.17110005494682712,0.7081695848481288,0.07572234786794324,0.2792525718445283,0.1386254922387815,0.03429355440272807,0.5,0.16883006995972277,0.859779324839091,1.0,0.9284951764180013,1,True,0,0,2,Húmedo y de menor potencial solar,1.916053530522515,-0.0283390018867331,False,False
ES22,Comunidad Foral de Navarra,España,0.4055682201789743,0.36490043847870235,0.44543979471429995,0.26701959263378594,14,19,13,15,0.762337174461788,0.25200406341721737,0.4152733892460595,0.14116128208341427,0.02204936884631294,0.09144854789077245,0.7294786642570188,0.8307932712292115,0.8546514098207261,0.6700229391028498,0.36785658673310495,0.078225278443386,0.4152733892460595,0.14116128208341427,0.0,0.04409873769262588,0.14072028100631845,0.05622507734979981,0.010297381097743917,0.25,0.0,0.603513174404015,0.8134556574923547,0.8307932712292115,1,True,0,0,5,Clima más frío y baja densidad,1.436476010425667,-0.0489779533577874,False,False
ES23,La Rioja,España,0.40260562365723485,0.40128902003404665,0.4581353008808455,0.24596456670605726,15,13,11,18,0.9479069458418126,0.30735988092030786,0.3065685757479668,0.17466075291004024,0.040926918722928154,0.0664582253719774,0.5679946588698446,0.8089690308730013,1.0,0.895813891683625,0.39426969791342253,0.17699515543063593,0.3065685757479668,0.17466075291004024,0.052639967458287897,0.029213869987568405,0.16318739644543487,0.03930129100049785,0.012616693470748218,0.0,0.11718574594320609,0.589711417816813,0.5535168195718655,0.8089690308730013,1,True,0,0,5,Clima más frío y baja densidad,0.7056593203742021,-0.0533069452056759,False,False
ES24,Aragón,España,0.4371072343501929,0.4676462856774963,0.49105482652581756,0.2536270473215125,10,6,8,17,0.824211267586807,0.706732389234966,0.4545901653826424,0.18120284676270704,0.10480877044229717,0.06563778201717063,0.3813106488782475,0.7783640044967051,0.7201720890744763,0.9282504460991375,0.761736997819994,0.624225476357424,0.4545901653826424,0.18120284676270704,0.17611218238817838,0.03350535849641595,0.017870122719665565,0.0158018880344252,0.006979156136881968,0.25,0.03753774319488044,0.136762860727729,0.5443425076452598,0.7783640044967051,1,True,0,1,5,Clima más frío y baja densidad,1.3450368440614475,-0.0733420578076526,False,False
ES30,Comunidad de Madrid,España,0.5600268756479057,0.5956882855042092,0.5426327057454953,0.47171507589526646,3,2,4,4,0.7618728757702442,0.7500988565041935,0.5475501899696904,0.0008735304356489726,0.39114961604252496,0.33303704390752464,0.6956328925534183,1.0,0.5539078494355865,0.969837902104902,0.7546325132357522,0.7432983714068554,0.5475501899696904,0.0008735304356489726,0.6382369917417332,0.14406224034331666,0.5415688329665033,0.03592896896476103,0.05551784396260096,0.625,0.40716957364375816,0.48220149743859186,0.837920489296636,1.0,1,True,0,0,4,"Urbano, solar y de baja variabilidad",2.0129727741848025,0.0001133846997645,True,False
ES41,Castilla y León,España,0.434180332522112,0.45025348477235067,0.49870255655067314,0.2608449677331234,11,7,7,16,0.9608522817238507,0.4714827193012858,0.5272144169865575,0.26001305355921567,0.11977939512500246,0.0845244050688317,0.37859634178628565,0.6709800466258665,0.9217045634477015,1.0,0.6422064777327936,0.21539708165402416,0.5272144169865575,0.26001305355921567,0.22710577492807454,0.012453015321930369,0.034880994095583984,0.0413407269060147,0.017256424246270653,0.25,0.07914388009628918,0.09786700125470515,0.565749235474006,0.6709800466258665,1,True,0,0,5,Clima más frío y baja densidad,0.7143169011292969,-0.0608629906668186,False,False
ES42,Castilla-La Mancha,España,0.39280208296778696,0.3884989490275071,0.47951984342484594,0.19734882521650993,17,16,9,20,0.7062367468501458,0.5520808382253419,0.6233550268525204,0.38779483223779154,0.07005027603893269,0.010562960701391948,0.23049048611191048,0.5618454967242607,0.45866973904173414,0.9538037546585576,0.692151977577079,0.3419741291977364,0.6233550268525204,0.38779483223779154,0.11722121279474881,0.02287933928311657,0.00984661490947148,0.0054601500688241595,0.0035755263180685982,0.0,0.0339325122105955,0.11292346298619825,0.308868501529052,0.5618454967242607,1,True,0,0,6,Cálido y con estrés hídrico,1.50205274455884,-0.0256981066683278,False,False
