componente,autovalor_observado,autovalor_aleatorio_medio,autovalor_aleatorio_p95,retener
PC1,6.268938247119532,3.142381112432329,3.5870719115758734,True
PC2,5.242871934387358,2.610530120628096,2.9129837135161023,True
PC3,2.6499415114132567,2.246623963213205,2.5034475035145958,True
PC4,1.3990516128901773,1.9409925222307836,2.144062950093733,False
PC5,0.9305061121523519,1.6702971025031481,1.8698757800232346,False
PC6,0.5740266347565914,1.4359442409955554,1.603571195428165,False
PC7,0.5319182715464718,1.2242527038024702,1.386300596660117,False
PC8,0.4397506131523843,1.0396901839526411,1.1878016727367458,False
PC9,0.32151232606029545,0.8750012819831114,1.0174660597899086,False
PC10,0.19129660398317438,0.7179434918283141,0.8574719459433972,False
PC11,0.136757915629682,0.5825197961763786,0.7053073047754747,False
PC12,0.1173519786736472,0.4643946996017318,0.5709883290262714,False
PC13,0.08697343777868805,0.3553608097169046,0.44299578617569274,False
PC14,0.038611428969891254,0.26371631411706287,0.34853737532971374,False
PC15,0.029506031197622552,0.18671545406777104,0.26091230258935466,False
PC16,0.019968081319490738,0.12392982033622946,0.18513127035383076,False
PC17,0.011254788049417295,0.07322699224312552,0.11687930441251766,False
PC18,0.006871284544015198,0.03508094265747969,0.06454084128875912,False
PC19,0.002891186375948649,0.011398447513662953,0.028013028996769055,False
